symbol,genename,log2FoldChange,baseMean,LR,pvalue,padj,GFPpos1,GFPpos2_2,GFPpos2,GFPpos5_2,GFPneg1,GFPneg2,GFPneg2_2,GFPneg5_2
5s_rrna,5S ribosomal RNA,-1.2934,5.5104,18.0551,0,0.0003,22.1809684085879,34.1422813460134,13.9646408726861,30.4766511273561,35.3931957611947,45.6432402838491,120.398781298923,61.0764487174201
5s_rrna,5S ribosomal RNA,1.8069,2.7631,10.2219,0.0014,0.0111,6.39112649061008,15.2636081311589,7.8397983846659,8.78140795195007,0.715014055781711,3.08698243465646,6.36724324176995,2.52979373385764
5s_rrna,5S ribosomal RNA,1.7702,2.3455,7.1677,0.0074,0.0426,8.08289526753628,8.43515186195625,6.12484248802024,4.90725738491327,1.60878162550885,1.10249372666302,1.73652088411908,4.33678925804166
5s_rrna,5S ribosomal RNA,-1.0011,3.0277,3.9777,0.0461,0.1647,4.69935771368388,11.246869149275,1.71495589664567,5.16553408938239,10.1889502948894,6.17396486931292,12.1556461888335,10.8419731451042
5s_rrna,5S ribosomal RNA,1.6768,0.4177,2.73,0.0985,0.2752,0.939871542736777,2.00836949094196,1.22496849760405,0.774830113407359,0.178753513945428,0.881994981330417,0.578840294706359,0
5s_rrna,5S ribosomal RNA,-1.2408,1.264,2.4924,0.1144,0.3026,0.563922925642066,2.00836949094196,1.46996219712486,0.774830113407359,2.68130270918142,1.98448870799344,2.31536117882544,3.61399104836805
5s_rrna,5S ribosomal RNA,-0.8089,3.1993,2.3243,0.1274,0.3234,14.6619960666937,0.803347796376786,8.32978578370752,3.61587386256767,13.2277600319617,12.5684284839584,2.8942014735318,11.5647713547778
5s_rrna,5S ribosomal RNA,-1.1593,0.6692,1.596,0.2065,0.4369,1.12784585128413,0.803347796376786,0.244993699520809,0.516553408938239,1.07252108367257,1.54349121732823,1.15768058941272,2.16839462902083
5s_rrna,5S ribosomal RNA,1.0179,0.4082,0.9498,0.3298,0.5752,1.31582015983149,0,1.22496849760405,1.2913835223456,0.536260541836284,0.220498745332604,0,1.44559641934722
5s_rrna,5S ribosomal RNA,-1.1783,0.9251,0.854,0.3554,0.6005,2.63164031966298,0,1.71495589664567,0,1.251274597618,0.881994981330417,2.8942014735318,1.80699552418403
5s_rrna,5S ribosomal RNA,0.7385,0.8795,0.6919,0.4055,0.6465,1.6917687769262,1.60669559275357,1.46996219712486,1.2913835223456,2.14504216734513,0.661496235997813,0,1.08419731451042
5s_rrna,5S ribosomal RNA,0.6302,2.1061,0.6321,0.4266,0.6645,2.06771739402091,8.43515186195625,4.40988659137457,2.06621363575296,0.536260541836284,1.32299247199563,4.63072235765087,8.31217941124653
5s_rrna,5S ribosomal RNA,-0.7618,1.557,0.5852,0.4443,0.6777,1.31582015983149,1.60669559275357,3.91989919233295,0.516553408938239,1.60878162550885,0.661496235997813,6.94608353647631,4.33678925804166
